started_utc	ended_utc	label	exit_code	timing_basis	command
not_recorded	not_recorded	clone:qualiber	0	reconstructed_retrospective	git clone --no-checkout https://github.com/karkuak/qualiber.git clones/qualiber
not_recorded	not_recorded	clone:reality-lab	0	reconstructed_retrospective	git clone --no-checkout https://github.com/karkuak/qualiber-reality-lab.git clones/reality-lab
not_recorded	not_recorded	worktree:qualiber@d3ebf37	0	reconstructed_retrospective	git -C clones/qualiber worktree add --detach <WORK>/qualiber d3ebf37fc2cd5741c25eac22eaa20777153730ce
not_recorded	not_recorded	worktree:lab-deps@69ace16	0	reconstructed_retrospective	git -C clones/reality-lab worktree add --detach <WORK>/lab-deps 69ace16fb7ee021dddbcf3fa70e4295c2e5a400b
not_recorded	not_recorded	worktree:lab-evidence@87a87e5	0	reconstructed_retrospective	git -C clones/reality-lab worktree add --detach <WORK>/lab-evidence 87a87e535db6f74f95f6de5f14b4870d973b00d7
not_recorded	not_recorded	wave1:validate-evidence-index	0	reconstructed_retrospective	recompute docs/evidence/qualiber-product-scenarios-20260818/evidence-index.json over retained bytes  # 732/732 matched, path-set equal
not_recorded	not_recorded	lab:npm-ci	0	reconstructed_retrospective	npm ci   # in <WORK>/lab-deps
not_recorded	not_recorded	lab:build	0	reconstructed_retrospective	npm run build   # in <WORK>/lab-deps
not_recorded	not_recorded	qualiber:npm-ci	0	reconstructed_retrospective	npm ci   # in <WORK>/qualiber
not_recorded	not_recorded	qualiber:install-lab-packages	0	reconstructed_retrospective	npm --prefix adapters/erl2-subject run install:lab-packages -- --lab-checkout <WORK>/lab-deps
not_recorded	not_recorded	qualiber:test-adapters(build+gate)	0	reconstructed_retrospective	env QUALIBER_ERL2_LAB_CHECKOUT=<WORK>/lab-deps npm run test:adapters   # 255/255 passed; 2 of 2 declared artifacts built
not_recorded	not_recorded	campaign:copy-wave1-tooling	0	reconstructed_retrospective	cp compare-scenario.mjs compare-scenario.test.mjs oracle-absence-scan.mjs run-offline-verification.mjs fixtures/ from the published Wave 1 bundle  # all four digests verified byte-identical
not_recorded	not_recorded	campaign:tooling-tests(FAILED-relative-anchor)	1	reconstructed_retrospective	node campaign/compare-scenario.test.mjs --dependency-anchor <WORK>/qualiber/adapters/erl2-subject/package.json --retain-fixtures campaign/fixtures --result campaign/tooling-test-result.json   # RELATIVE --retain-fixtures; T5 asserted the wrong tooling-exit message; operator invocation defect, no script or fixture edited
not_recorded	not_recorded	campaign:tooling-tests	0	reconstructed_retrospective	node campaign/compare-scenario.test.mjs --dependency-anchor <WORK>/qualiber/adapters/erl2-subject/package.json --retain-fixtures <W2>/campaign/fixtures --result <W2>/campaign/tooling-test-result.json   # ABSOLUTE path, as Wave 1's log used; 12/12 passed
not_recorded	not_recorded	campaign:oracle-precommit-written	0	reconstructed_retrospective	write oracle-precommit.json  # sha256:f22309b860304163c9195196161fe7897b3d80db0a5edb8c349a1c77dad745ca
not_recorded	not_recorded	campaign:execution-lock-written	0	reconstructed_retrospective	write execution-lock.json  # sha256:165480e83e61343773651f5ae13759f262dbe9b64fbfb4527c3c6f03f910c16b
not_recorded	not_recorded	campaign:verify-input-digests-vs-precommit	0	reconstructed_retrospective	recompute all three stimuli, the shared contract and all three expectations against oracle-precommit.json  # all bind
2026-08-19T02:50:49Z	2026-08-19T02:50:49Z	QLB-EXT-006:scan-mounted-inputs	0	wall_clock	node <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/campaign/oracle-absence-scan.mjs --label QLB-EXT-006/mounted-inputs --output <WORK>/scenarios/QLB-EXT-006/scans/scan-1-mounted-inputs.json --digest-source <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/oracle-precommit.json --digest-source <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/execution-lock.json --expectation-path expectations/QLB-EXT-006.expected.json --expectation-path <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/expectations/QLB-EXT-006.expected.json <WORK>/scenarios/QLB-EXT-006/input
2026-08-19T02:50:56Z	2026-08-19T02:50:56Z	QLB-EXT-006:plan-draft	0	wall_clock	npm --prefix <WORK>/qualiber/adapters/erl2-subject run --silent plan:draft:validation -- --capture-stimulus <WORK>/scenarios/QLB-EXT-006/input/stimulus.json --contract-stimulus <WORK>/scenarios/QLB-EXT-006/input/contract.json --output <WORK>/scenarios/QLB-EXT-006/plan/plan-draft.generated.json
2026-08-19T02:51:07Z	2026-08-19T02:51:07Z	QLB-EXT-006:declare-and-seal	0	wall_clock	node <WORK>/lab-deps/packages/cli/dist/src/bin.js declare-trusted-local-adapter --adapter-entry <WORK>/qualiber/adapters/erl2-subject/dist/qualiber-erl2-validation-subject.mjs --manifest <WORK>/qualiber/adapters/erl2-subject/certification/validation-adapter-manifest.v2.json --acknowledge-trusted-local-code I ACCEPT THAT THESE EXACT ADAPTER BYTES EXECUTE WITH MY LOCAL USER PERMISSIONS, ARE NOT SANDBOXED AND ARE NOT INDEPENDENTLY CERTIFIED, AND THAT THE RESULTS ARE DEVELOPMENT-ONLY, UNSCORED AND UNAUTHENTICATED --acknowledged-by repository owner (karthik), qualiber-reality-lab prospective Wave 2 campaign 2026-08-19 --declaration-id qualiber-ext-qlb-ext-006 --output <WORK>/scenarios/QLB-EXT-006/declaration/trusted-local-declaration.json --source-repository qualiber --source-commit d3ebf37fc2cd5741c25eac22eaa20777153730ce --source-tree 0d2a8c4de0196972ef1ed8844b3746a4cfa5df3a --seal-plan-draft <WORK>/scenarios/QLB-EXT-006/plan/plan-draft.generated.json --plan-output <WORK>/scenarios/QLB-EXT-006/plan/plan-sealed.json
2026-08-19T02:51:16Z	2026-08-19T02:51:16Z	QLB-EXT-006:scan-sealed-plan	0	wall_clock	node <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/campaign/oracle-absence-scan.mjs --label QLB-EXT-006/sealed-plan --output <WORK>/scenarios/QLB-EXT-006/scans/scan-2-sealed-plan.json --digest-source <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/oracle-precommit.json --digest-source <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/execution-lock.json --expectation-path expectations/QLB-EXT-006.expected.json --expectation-path <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/expectations/QLB-EXT-006.expected.json <WORK>/scenarios/QLB-EXT-006/plan/plan-sealed.json
2026-08-19T02:51:24Z	2026-08-19T02:51:25Z	QLB-EXT-006:run-observation	0	wall_clock	node <WORK>/lab-deps/packages/cli/dist/src/bin.js run-trusted-local-observation --adapter-entry <WORK>/qualiber/adapters/erl2-subject/dist/qualiber-erl2-validation-subject.mjs --manifest <WORK>/qualiber/adapters/erl2-subject/certification/validation-adapter-manifest.v2.json --plan <WORK>/scenarios/QLB-EXT-006/plan/plan-sealed.json --owner-declaration <WORK>/scenarios/QLB-EXT-006/declaration/trusted-local-declaration.json --output-root <WORK>/scenarios/QLB-EXT-006/run-output --bind-input capture-stimulus-input=<WORK>/scenarios/QLB-EXT-006/input/stimulus.json --bind-input contract-stimulus-input=<WORK>/scenarios/QLB-EXT-006/input/contract.json
2026-08-19T02:51:33Z	2026-08-19T02:51:33Z	QLB-EXT-006:offline-verification	0	wall_clock	node <WORK>/lab-evidence/docs/evidence/qualiber-product-scenarios-wave2-20260819/campaign/run-offline-verification.mjs --lab-checkout <WORK>/lab-deps --record <WORK>/scenarios/QLB-EXT-006/run-output/trusted-local-observation-record.json --plan <WORK>/scenarios/QLB-EXT-006/run-output/observation-plan.json --registry-root <WORK>/scenarios/QLB-EXT-006/run-output/registry --adapter-entry <WORK>/qualiber/adapters/erl2-subject/dist/qualiber-erl2-validation-subject.mjs --retained-input-root <WORK>/scenarios/QLB-EXT-006/run-output/inputs --label QLB-EXT-006 --output <WORK>/scenarios/QLB-EXT-006/verification/verification-result.json
